video_id,comment_id,is_reply,reply_to,comment_lenght,comment,author,channel_id,comment_publishedAt,seconds_after_video,seconds_after_comment,subscriberCount,videoCount,viewCount,bot
rPXasD5We5k,UC7pByYBggRW-MAr8cTwDEWQ_43,1,UC6ieVmgqFs2J8dPqIkeklqA_42,96,,@JoaoVictorAraujodeJesus,UC7pByYBggRW-MAr8cTwDEWQ,2025-06-19T04:34:47Z,23527,13466,0,0,0,0
rPXasD5We5k,UC6ieVmgqFs2J8dPqIkeklqA_44,1,UC6ieVmgqFs2J8dPqIkeklqA_42,96,,@srguga_07,UC6ieVmgqFs2J8dPqIkeklqA,2025-06-19T04:56:03Z,24803,14742,10,1,33,0
rPXasD5We5k,UCJGCSH2-ZN-vFtFsIHJJgJw_45,0,,281,,@PF_752BR,UCJGCSH2-ZN-vFtFsIHJJgJw,2025-06-19T00:50:04Z,10044,,2,0,0,0
rPXasD5We5k,UCVoSGADL81SLxi-_lqwKuJg_46,1,UCJGCSH2-ZN-vFtFsIHJJgJw_45,281,,@lucasxavier8779,UCVoSGADL81SLxi-_lqwKuJg,2025-06-19T04:41:25Z,23925,13881,0,0,0,0
rPXasD5We5k,UCJmDVeknZeDfqmJz_ep0pPQ_47,1,UCJGCSH2-ZN-vFtFsIHJJgJw_45,281,,@KarlosDanniel-m8f,UCJmDVeknZeDfqmJz_ep0pPQ,2025-06-19T19:40:20Z,77860,67816,1,0,0,0
rPXasD5We5k,UCJGCSH2-ZN-vFtFsIHJJgJw_48,1,UCJGCSH2-ZN-vFtFsIHJJgJw_45,281,,@PF_752BR,UCJGCSH2-ZN-vFtFsIHJJgJw,2025-06-20T06:16:32Z,116032,105988,2,0,0,0
rPXasD5We5k,UCjOvJJBTSlQsTqFBDNA2dvA_49,0,,101,,@victorsousa7339,UCjOvJJBTSlQsTqFBDNA2dvA,2025-06-19T00:43:02Z,9622,,813,4,2842,0
rPXasD5We5k,UCX2zaUspjikudEAlIcraK4g_50,1,UCjOvJJBTSlQsTqFBDNA2dvA_49,101,,@cortedireto1,UCX2zaUspjikudEAlIcraK4g,2025-06-19T01:11:12Z,11312,1690,769,9,16482,0
rPXasD5We5k,UC4OtN8krOgLmR5-XCjGoVCw_51,0,,100,,@kauriki,UC4OtN8krOgLmR5-XCjGoVCw,2025-06-19T00:38:06Z,9326,,4,0,0,0
rPXasD5We5k,UC3k5aBzcwYkjJ4mWPZCED3A_52,1,UC4OtN8krOgLmR5-XCjGoVCw_51,100,,@ywryk2023,UC3k5aBzcwYkjJ4mWPZCED3A,2025-06-19T01:12:08Z,11368,2042,2,0,0,0
rPXasD5We5k,UCpxIbG_PThr3LiJTRSYDWUQ_53,0,,91,,@Pololo-d4w2i,UCpxIbG_PThr3LiJTRSYDWUQ,2025-06-19T00:26:46Z,8646,,0,0,0,0
rPXasD5We5k,UC62lFealxxiHCLPUfr1sSog_54,1,UCpxIbG_PThr3LiJTRSYDWUQ_53,91,,@chrisgreen4140,UC62lFealxxiHCLPUfr1sSog,2025-06-19T02:36:58Z,16458,7812,2,0,0,0
rPXasD5We5k,UCjm4w_3H3BCNZolv7WDWr5w_55,0,,157,,@rogerioperazzo1114,UCjm4w_3H3BCNZolv7WDWr5w,2025-06-19T00:04:01Z,7281,,7,0,0,0
rPXasD5We5k,UC4_wmMlNLepkifzr02GTP1g_56,1,UCjm4w_3H3BCNZolv7WDWr5w_55,157,,@lanjinhavidigal8296,UC4_wmMlNLepkifzr02GTP1g,2025-06-19T01:43:34Z,13254,5973,2,0,0,0
rPXasD5We5k,UClaMFQ3VkDcXjlJSeqNuSdw_57,0,,47,,@adryanogomes1161,UClaMFQ3VkDcXjlJSeqNuSdw,2025-06-18T23:55:25Z,6765,,0,0,0,0
rPXasD5We5k,UCuC1BcJvE-gZ7wRK_6w8vhQ_58,1,UClaMFQ3VkDcXjlJSeqNuSdw_57,47,,@giovannavinagreiro6618,UCuC1BcJvE-gZ7wRK_6w8vhQ,2025-06-19T00:58:26Z,10546,3781,11,1,56,0
rPXasD5We5k,UCIkXOcNn61Q1Ja5zE_-cm2w_59,0,,279,,@gabrieltwog,UCIkXOcNn61Q1Ja5zE_-cm2w,2025-06-18T23:52:42Z,6602,,7,5,522,0
rPXasD5We5k,UCSV0w6C212P7PL3nqjvD91A_60,1,UCIkXOcNn61Q1Ja5zE_-cm2w_59,279,,@MateusHenrique-bs1vm,UCSV0w6C212P7PL3nqjvD91A,2025-06-19T00:51:07Z,10107,3505,42,0,0,0
rPXasD5We5k,UCefmWHDQwDKkOIlC6NNVFBg_61,1,UCIkXOcNn61Q1Ja5zE_-cm2w_59,279,,@Dubode,UCefmWHDQwDKkOIlC6NNVFBg,2025-06-19T03:45:18Z,20558,13956,1,0,0,0
rPXasD5We5k,UCATHCxZzExoeLsyQfNtnUTQ_62,1,UCIkXOcNn61Q1Ja5zE_-cm2w_59,279,,@NicoleBr81,UCATHCxZzExoeLsyQfNtnUTQ,2025-06-19T10:56:37Z,46437,39835,8,0,0,0
rPXasD5We5k,UCZdABuQXhQFyqraAgmI9cPg_63,0,,44,,@ramon7r293,UCZdABuQXhQFyqraAgmI9cPg,2025-06-18T23:50:15Z,6455,,24,1,256,0
rPXasD5We5k,UCJmDVeknZeDfqmJz_ep0pPQ_64,1,UCZdABuQXhQFyqraAgmI9cPg_63,44,,@KarlosDanniel-m8f,UCJmDVeknZeDfqmJz_ep0pPQ,2025-06-19T19:33:58Z,77478,71023,1,0,0,0
rPXasD5We5k,UCfWizkCmgOibNOee763owdg_65,0,,253,,@Lucasleto1,UCfWizkCmgOibNOee763owdg,2025-06-18T23:48:31Z,6351,,0,1,21,0
rPXasD5We5k,UCf7HTi-mMOvEGPglp001e3Q_66,1,UCfWizkCmgOibNOee763owdg_65,253,,@SuperTitopinto,UCf7HTi-mMOvEGPglp001e3Q,2025-06-19T00:19:42Z,8222,1871,2,0,0,0
rPXasD5We5k,UCZQizZAbXJAJzcANBSgvT8Q_67,0,,39,,@ld6247,UCZQizZAbXJAJzcANBSgvT8Q,2025-06-18T23:43:56Z,6076,,0,0,0,0
rPXasD5We5k,UC5HyfYXd3oDg_RgUASHsNhQ_68,1,UCZQizZAbXJAJzcANBSgvT8Q_67,39,,@Douglaslemes18,UC5HyfYXd3oDg_RgUASHsNhQ,2025-06-19T03:43:48Z,20468,14392,53,95,12957,0
rPXasD5We5k,UC1YbEMWejll1KjkLH--ThKg_69,0,,94,,@aripereira3223,UC1YbEMWejll1KjkLH--ThKg,2025-06-18T23:43:43Z,6063,,0,1,6,0
